port,protocol,service,banner
21,udp,ftp,open|filtered
22,udp,ssh,open|filtered
23,udp,telnet,open|filtered
25,udp,smtp,open|filtered
53,udp,dns,aabb8180000100060000000006676f6f676c6503636f6d0000010001c00c000100010000009d00044a7d8e8bc00c000100010000009d00044a7d8e64c00c000100010000009d00044a7d8e8ac00c000100010000009d00044a7d8e71c00c000100010000009d00044a7d8e66c00c000100010000009d00044a7d8e65
80,udp,http,open|filtered
110,udp,pop3,open|filtered
143,udp,imap,open|filtered
443,udp,https,open|filtered
445,udp,smb,open|filtered
1433,udp,mssql,open|filtered
3306,udp,mysql,open|filtered
3389,udp,rdp,open|filtered
5432,udp,postgres,open|filtered
6379,udp,redis,open|filtered
6443,udp,kubernetes-api,open|filtered
8080,udp,http-alt,open|filtered
8443,udp,https-alt,open|filtered
9200,udp,elasticsearch,open|filtered
27017,udp,mongodb,open|filtered
